STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 12:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 18:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 19:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 20:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 21:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 22:00,0.12
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 23:00,0.25
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 00:00,0.14
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 01:00,0.09
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 02:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 03:00,0.11
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 04:00,0.08
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 05:00,0.09
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 06:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730416 08:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730419 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730420 04:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730420 05:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730420 06:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730421 06:00,0.17
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730421 07:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730430 11:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730430 12:00,0.67
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730430 13:00,0.32
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730430 14:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730430 22:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730430 23:00,0.26
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 00:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 01:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 02:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 03:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 04:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 05:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 06:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 17:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 18:00,0.11
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 19:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 20:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730501 23:00,0.07
